issue_description,status,priority,metadata
VPN connection drops intermittently for remote workers.,open,critical,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-02-06T14:36:15.190427"", ""last_updated"": ""2025-02-10T14:36:15.190429""}"
Database connection errors occur randomly.,in_progress,medium,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-11T14:36:15.190433"", ""last_updated"": ""2025-02-10T14:36:15.190435""}"
Email notifications are not being sent to customers.,in_progress,low,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-02-08T14:36:15.190439"", ""last_updated"": ""2025-02-10T14:36:15.190441""}"
File uploads fail with unknown error message.,open,low,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-01-30T14:36:15.190446"", ""last_updated"": ""2025-02-10T14:36:15.190447""}"
Slow loading times on the website homepage.,resolved,low,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-23T14:36:15.190452"", ""last_updated"": ""2025-02-10T14:36:15.190453""}"
Email notifications are not being sent to customers.,open,critical,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-01-20T14:36:15.190459"", ""last_updated"": ""2025-02-10T14:36:15.190461""}"
Application crashes when submitting a form.,resolved,critical,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-01-19T14:36:15.190465"", ""last_updated"": ""2025-02-10T14:36:15.190467""}"
Database connection errors occur randomly.,open,medium,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-01-12T14:36:15.190472"", ""last_updated"": ""2025-02-10T14:36:15.190473""}"
VPN connection drops intermittently for remote workers.,resolved,high,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-01-24T14:36:15.190478"", ""last_updated"": ""2025-02-10T14:36:15.190479""}"
Mobile app freezes when navigating to settings.,in_progress,low,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-02-01T14:36:15.190484"", ""last_updated"": ""2025-02-10T14:36:15.190486""}"
Email notifications are not being sent to customers.,in_progress,high,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-02-10T14:36:15.190490"", ""last_updated"": ""2025-02-10T14:36:15.190492""}"
Mobile app freezes when navigating to settings.,open,low,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-01-27T14:36:15.190496"", ""last_updated"": ""2025-02-10T14:36:15.190498""}"
Application crashes when submitting a form.,resolved,low,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-01-29T14:36:15.190502"", ""last_updated"": ""2025-02-10T14:36:15.190504""}"
Slow loading times on the website homepage.,in_progress,high,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-02-03T14:36:15.190508"", ""last_updated"": ""2025-02-10T14:36:15.190510""}"
Payment processing fails for international customers.,resolved,low,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-01-19T14:36:15.190515"", ""last_updated"": ""2025-02-10T14:36:15.190516""}"
Payment processing fails for international customers.,in_progress,low,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-28T14:36:15.190521"", ""last_updated"": ""2025-02-10T14:36:15.190523""}"
Users unable to reset passwords via the portal.,resolved,high,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-01-15T14:36:15.190527"", ""last_updated"": ""2025-02-10T14:36:15.190529""}"
"User cannot log in, receiving authentication error.",resolved,medium,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-02-02T14:36:15.190533"", ""last_updated"": ""2025-02-10T14:36:15.190535""}"
Email notifications are not being sent to customers.,resolved,high,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-02-08T14:36:15.190539"", ""last_updated"": ""2025-02-10T14:36:15.190541""}"
Slow loading times on the website homepage.,resolved,high,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-02-03T14:36:15.190547"", ""last_updated"": ""2025-02-10T14:36:15.190549""}"
File uploads fail with unknown error message.,in_progress,high,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-02-08T14:36:15.190553"", ""last_updated"": ""2025-02-10T14:36:15.190555""}"
Slow loading times on the website homepage.,in_progress,medium,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-02-03T14:36:15.190559"", ""last_updated"": ""2025-02-10T14:36:15.190561""}"
Application crashes when submitting a form.,open,critical,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-01-23T14:36:15.190565"", ""last_updated"": ""2025-02-10T14:36:15.190567""}"
File uploads fail with unknown error message.,resolved,high,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-02-01T14:36:15.190572"", ""last_updated"": ""2025-02-10T14:36:15.190574""}"
Users unable to reset passwords via the portal.,open,high,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-01-13T14:36:15.190578"", ""last_updated"": ""2025-02-10T14:36:15.190580""}"
Mobile app freezes when navigating to settings.,open,high,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-01-11T14:36:15.190584"", ""last_updated"": ""2025-02-10T14:36:15.190586""}"
Users unable to reset passwords via the portal.,resolved,critical,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-02-03T14:36:15.190592"", ""last_updated"": ""2025-02-10T14:36:15.190593""}"
Users unable to reset passwords via the portal.,open,critical,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-01-23T14:36:15.190598"", ""last_updated"": ""2025-02-10T14:36:15.190599""}"
Mobile app freezes when navigating to settings.,open,critical,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-01-19T14:36:15.190604"", ""last_updated"": ""2025-02-10T14:36:15.190605""}"
Application crashes when submitting a form.,open,critical,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-01-12T14:36:15.190610"", ""last_updated"": ""2025-02-10T14:36:15.190612""}"
File uploads fail with unknown error message.,in_progress,high,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-24T14:36:15.190616"", ""last_updated"": ""2025-02-10T14:36:15.190618""}"
Database connection errors occur randomly.,in_progress,critical,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-01-15T14:36:15.190622"", ""last_updated"": ""2025-02-10T14:36:15.190624""}"
Email notifications are not being sent to customers.,open,medium,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-01-31T14:36:15.190628"", ""last_updated"": ""2025-02-10T14:36:15.190630""}"
Email notifications are not being sent to customers.,resolved,critical,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-02-08T14:36:15.190634"", ""last_updated"": ""2025-02-10T14:36:15.190636""}"
Database connection errors occur randomly.,open,high,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-01-28T14:36:15.190640"", ""last_updated"": ""2025-02-10T14:36:15.190642""}"
Payment processing fails for international customers.,in_progress,high,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-01-20T14:36:15.190646"", ""last_updated"": ""2025-02-10T14:36:15.190648""}"
Application crashes when submitting a form.,resolved,high,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-01-19T14:36:15.190653"", ""last_updated"": ""2025-02-10T14:36:15.190654""}"
VPN connection drops intermittently for remote workers.,open,critical,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-02-07T14:36:15.190659"", ""last_updated"": ""2025-02-10T14:36:15.190661""}"
"User cannot log in, receiving authentication error.",in_progress,critical,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-01-26T14:36:15.190665"", ""last_updated"": ""2025-02-10T14:36:15.190667""}"
Email notifications are not being sent to customers.,resolved,critical,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-01-19T14:36:15.190671"", ""last_updated"": ""2025-02-10T14:36:15.190673""}"
Slow loading times on the website homepage.,open,high,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-02-10T14:36:15.190677"", ""last_updated"": ""2025-02-10T14:36:15.190679""}"
Email notifications are not being sent to customers.,in_progress,critical,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-01-20T14:36:15.190683"", ""last_updated"": ""2025-02-10T14:36:15.190685""}"
File uploads fail with unknown error message.,open,critical,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-01-12T14:36:15.190689"", ""last_updated"": ""2025-02-10T14:36:15.190691""}"
"User cannot log in, receiving authentication error.",in_progress,low,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-01-14T14:36:15.190695"", ""last_updated"": ""2025-02-10T14:36:15.190697""}"
VPN connection drops intermittently for remote workers.,open,low,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-02-03T14:36:15.190701"", ""last_updated"": ""2025-02-10T14:36:15.190703""}"
Email notifications are not being sent to customers.,resolved,high,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-01-13T14:36:15.190708"", ""last_updated"": ""2025-02-10T14:36:15.190709""}"
Database connection errors occur randomly.,open,medium,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-02-01T14:36:15.190714"", ""last_updated"": ""2025-02-10T14:36:15.190716""}"
"User cannot log in, receiving authentication error.",in_progress,high,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-01-29T14:36:15.190720"", ""last_updated"": ""2025-02-10T14:36:15.190722""}"
Slow loading times on the website homepage.,open,high,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-20T14:36:15.190727"", ""last_updated"": ""2025-02-10T14:36:15.190728""}"
Database connection errors occur randomly.,open,low,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-01-24T14:36:15.190733"", ""last_updated"": ""2025-02-10T14:36:15.190735""}"
Mobile app freezes when navigating to settings.,in_progress,low,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-01-25T14:36:15.190739"", ""last_updated"": ""2025-02-10T14:36:15.190741""}"
Database connection errors occur randomly.,open,low,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-01-29T14:36:15.190745"", ""last_updated"": ""2025-02-10T14:36:15.190747""}"
Email notifications are not being sent to customers.,open,critical,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-01-19T14:36:15.190753"", ""last_updated"": ""2025-02-10T14:36:15.190754""}"
Payment processing fails for international customers.,open,low,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-01-15T14:36:15.190759"", ""last_updated"": ""2025-02-10T14:36:15.190760""}"
Payment processing fails for international customers.,in_progress,high,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-13T14:36:15.190765"", ""last_updated"": ""2025-02-10T14:36:15.190766""}"
Users unable to reset passwords via the portal.,in_progress,high,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-02-02T14:36:15.190771"", ""last_updated"": ""2025-02-10T14:36:15.190773""}"
VPN connection drops intermittently for remote workers.,resolved,critical,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-02-03T14:36:15.190777"", ""last_updated"": ""2025-02-10T14:36:15.190779""}"
Users unable to reset passwords via the portal.,open,low,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-01-26T14:36:15.190784"", ""last_updated"": ""2025-02-10T14:36:15.190785""}"
"User cannot log in, receiving authentication error.",resolved,low,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-01-14T14:36:15.190790"", ""last_updated"": ""2025-02-10T14:36:15.190792""}"
Users unable to reset passwords via the portal.,resolved,medium,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-01-11T14:36:15.190796"", ""last_updated"": ""2025-02-10T14:36:15.190798""}"
Slow loading times on the website homepage.,resolved,low,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-01-27T14:36:15.190814"", ""last_updated"": ""2025-02-10T14:36:15.190822""}"
Database connection errors occur randomly.,open,low,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-01-29T14:36:15.190834"", ""last_updated"": ""2025-02-10T14:36:15.190837""}"
Application crashes when submitting a form.,resolved,medium,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-01-19T14:36:15.190843"", ""last_updated"": ""2025-02-10T14:36:15.190845""}"
Slow loading times on the website homepage.,in_progress,low,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-02-04T14:36:15.190851"", ""last_updated"": ""2025-02-10T14:36:15.190853""}"
File uploads fail with unknown error message.,open,medium,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-01-25T14:36:15.190858"", ""last_updated"": ""2025-02-10T14:36:15.190860""}"
Database connection errors occur randomly.,resolved,low,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-02-07T14:36:15.190865"", ""last_updated"": ""2025-02-10T14:36:15.190867""}"
Slow loading times on the website homepage.,in_progress,critical,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-01-26T14:36:15.190871"", ""last_updated"": ""2025-02-10T14:36:15.190873""}"
Payment processing fails for international customers.,open,low,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-12T14:36:15.190878"", ""last_updated"": ""2025-02-10T14:36:15.190880""}"
Users unable to reset passwords via the portal.,open,critical,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-01-25T14:36:15.190885"", ""last_updated"": ""2025-02-10T14:36:15.190886""}"
File uploads fail with unknown error message.,in_progress,high,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-01-21T14:36:15.190891"", ""last_updated"": ""2025-02-10T14:36:15.190893""}"
Database connection errors occur randomly.,in_progress,critical,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-01-24T14:36:15.190898"", ""last_updated"": ""2025-02-10T14:36:15.190900""}"
Email notifications are not being sent to customers.,resolved,critical,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-02-04T14:36:15.190904"", ""last_updated"": ""2025-02-10T14:36:15.190906""}"
Slow loading times on the website homepage.,in_progress,high,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-01-22T14:36:15.190911"", ""last_updated"": ""2025-02-10T14:36:15.190912""}"
Mobile app freezes when navigating to settings.,resolved,medium,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-02-01T14:36:15.190917"", ""last_updated"": ""2025-02-10T14:36:15.190919""}"
VPN connection drops intermittently for remote workers.,resolved,medium,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-01-18T14:36:15.190923"", ""last_updated"": ""2025-02-10T14:36:15.190925""}"
Email notifications are not being sent to customers.,in_progress,medium,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-01-17T14:36:15.190930"", ""last_updated"": ""2025-02-10T14:36:15.190931""}"
Payment processing fails for international customers.,resolved,medium,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-01-23T14:36:15.190936"", ""last_updated"": ""2025-02-10T14:36:15.190938""}"
Mobile app freezes when navigating to settings.,in_progress,high,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-01-31T14:36:15.190942"", ""last_updated"": ""2025-02-10T14:36:15.190944""}"
Application crashes when submitting a form.,open,high,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-01-16T14:36:15.190948"", ""last_updated"": ""2025-02-10T14:36:15.190950""}"
Slow loading times on the website homepage.,open,medium,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-02-07T14:36:15.190954"", ""last_updated"": ""2025-02-10T14:36:15.190956""}"
"User cannot log in, receiving authentication error.",open,critical,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-19T14:36:15.190961"", ""last_updated"": ""2025-02-10T14:36:15.190962""}"
Payment processing fails for international customers.,resolved,critical,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-01-22T14:36:15.190967"", ""last_updated"": ""2025-02-10T14:36:15.190969""}"
Database connection errors occur randomly.,resolved,medium,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-01-25T14:36:15.190973"", ""last_updated"": ""2025-02-10T14:36:15.190975""}"
VPN connection drops intermittently for remote workers.,in_progress,high,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-01-21T14:36:15.190979"", ""last_updated"": ""2025-02-10T14:36:15.190981""}"
Mobile app freezes when navigating to settings.,resolved,medium,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-02-03T14:36:15.190986"", ""last_updated"": ""2025-02-10T14:36:15.190987""}"
Email notifications are not being sent to customers.,in_progress,medium,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-01-12T14:36:15.190992"", ""last_updated"": ""2025-02-10T14:36:15.190994""}"
Payment processing fails for international customers.,in_progress,critical,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-01-17T14:36:15.190998"", ""last_updated"": ""2025-02-10T14:36:15.191000""}"
VPN connection drops intermittently for remote workers.,open,critical,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-01-25T14:36:15.191005"", ""last_updated"": ""2025-02-10T14:36:15.191006""}"
"User cannot log in, receiving authentication error.",open,high,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-01-21T14:36:15.191011"", ""last_updated"": ""2025-02-10T14:36:15.191013""}"
Slow loading times on the website homepage.,resolved,medium,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-02-05T14:36:15.191017"", ""last_updated"": ""2025-02-10T14:36:15.191019""}"
Slow loading times on the website homepage.,resolved,low,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-01-24T14:36:15.191024"", ""last_updated"": ""2025-02-10T14:36:15.191025""}"
Database connection errors occur randomly.,open,low,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-28T14:36:15.191030"", ""last_updated"": ""2025-02-10T14:36:15.191031""}"
Users unable to reset passwords via the portal.,resolved,critical,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-02-08T14:36:15.191036"", ""last_updated"": ""2025-02-10T14:36:15.191038""}"
Payment processing fails for international customers.,in_progress,critical,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-02-03T14:36:15.191042"", ""last_updated"": ""2025-02-10T14:36:15.191044""}"
Email notifications are not being sent to customers.,in_progress,medium,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-01-31T14:36:15.191049"", ""last_updated"": ""2025-02-10T14:36:15.191050""}"
Mobile app freezes when navigating to settings.,in_progress,medium,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-01-24T14:36:15.191055"", ""last_updated"": ""2025-02-10T14:36:15.191057""}"
File uploads fail with unknown error message.,open,medium,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-01-17T14:36:15.191061"", ""last_updated"": ""2025-02-10T14:36:15.191063""}"
Email notifications are not being sent to customers.,open,low,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-01-30T14:36:15.191068"", ""last_updated"": ""2025-02-10T14:36:15.191069""}"
Application crashes when submitting a form.,resolved,low,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-01-23T14:36:15.191074"", ""last_updated"": ""2025-02-10T14:36:15.191075""}"
Application crashes when submitting a form.,in_progress,critical,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-01-13T14:36:15.191080"", ""last_updated"": ""2025-02-10T14:36:15.191081""}"
Application crashes when submitting a form.,open,low,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-02-01T14:36:15.191086"", ""last_updated"": ""2025-02-10T14:36:15.191088""}"
"User cannot log in, receiving authentication error.",in_progress,high,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-01-23T14:36:15.191092"", ""last_updated"": ""2025-02-10T14:36:15.191094""}"
Payment processing fails for international customers.,in_progress,low,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-01-26T14:36:15.191099"", ""last_updated"": ""2025-02-10T14:36:15.191100""}"
Payment processing fails for international customers.,in_progress,low,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-13T14:36:15.191105"", ""last_updated"": ""2025-02-10T14:36:15.191106""}"
Application crashes when submitting a form.,open,low,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-01-18T14:36:15.191111"", ""last_updated"": ""2025-02-10T14:36:15.191113""}"
Mobile app freezes when navigating to settings.,resolved,critical,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-01-31T14:36:15.191117"", ""last_updated"": ""2025-02-10T14:36:15.191119""}"
Email notifications are not being sent to customers.,in_progress,medium,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-02-10T14:36:15.191124"", ""last_updated"": ""2025-02-10T14:36:15.191126""}"
